"ADDRESSMAIL","ADDRESSPHYSICAL","ALTERNATEDISTRICTNAME","ALTSCHOOLNAME","CHWEBURL","CITY","COUNTYNAME","DISTRICTCODE","DISTRICTNAME","GRADESERVEDRANGE","PRINEMAIL","PRINFIRSTNAME","PRINFULLNAME","PRINLASTNAME","PRINPHONE","PRINTITLE","REGION","SCHOOLCODE","SCHOOLEMAIL","SCHOOLFAX","SCHOOLNAME","SCHOOLPHONE","SCHOOLYEAR","SID","STATE","ZIP",
"","3440 Ebenezer Road","Sumter","Ebenezer Middle","http://ems.sumterschools.net/","Sumter","Sumter                                            ",4301,"Sumter 01                                         ","6-8 SPED       ","marlene.dewit@sumterschools.net","Marlene","field no longer used","DeWit","803-469-8571","Mrs.","Santee Lynches",002,"",8034698575,"Ebenezer Middle                                   ",8034698571,2020,4301002,"SC",29153,
"","2142 India Hook Road","Rock Hill School District Three of York County","Ebinport Elementary","https://www.rock-hill.k12.sc.us/Domain/11","Rock Hill","York                                              ",4603,"York 03                                           ","PK-5 SPED","rkelsey@rhmail.org","Rhonda","field no longer used","Kelsey","803-981-1550","Ms.","Catawba",023,"",8039811492,"Ebinport Elem                                     ",8039811550,2020,4603023,"SC",29732,
"","644 South Cambridge Street","Greenwood County School District 52","Edgewood Middle","http://ems.greenwood52.org/","Ninety Six","Greenwood                                         ",2452,"Greenwood 52                                      ","6-8 SPED       ","dschoolfield@greenwood52.org","David","field no longer used","Schoolfield","864-543-3511","Mr.","Upper Savannah",026,"",8645434994,"Edgewood Middle                                   ",8645433511,2020,2452026,"SC","29666-1417",
"","136 Woodolive Lane","Orangeburg County School District","Edisto Elementary","https://www.ocsd4sc.net/Domain/8","Orangeburg","Orangeburg                                        ",3809,"Orangeburg County School District","PK-5 SPED","latonya.nelson@ocsd5.net","LaTonya","","Nelson","803-531-7646","Ms.","",053,"",8035317614,"Edisto Elementary",8035317646,2020,3809053,"SC",29515,
"","500 R.M. Foster Drive","Orangeburg County School District","Edisto High School","https://www.ocsd4sc.net/Domain/10","Cordova","Orangeburg                                        ",3809,"Orangeburg County School District","9-12 SPED","brad.coleman@ocsd4sc.net","Brad","","Coleman","803-536-1553","Mr.","",024,"","803-531-5615","Edisto High School","803-536-1553",2020,3809024,"SC",29039,
"","3239 Cordova Road","Orangeburg County School District","Edisto Primary","https://www.ocsd4sc.net/Domain/11","Cordova","Orangeburg                                        ",3809,"Orangeburg County School District","PK-2 SPED      ","steven.preast@ocsd4sc.net","Steven","","Preast","803-536-4782","Mr.","",026,"","803-531-0789","Edisto Primary","803-536-4782",2020,3809026,"SC",29039,
"","6133 Maybank Highway","Charleston County School District","Edith L. Frierson Elementary","http://frierson.ccsdschools.com/","Wadmalaw Island","Charleston                                        ",1001,"Charleston 01                                     ","PK-5 SPED      ","deborah_cummings@charleston.k12.sc.us","Deborah","field no longer used","Cummings","843-559-1182","Mrs.","Trident",075,"",8435591182,"Edith L Frierson Elem                             ",8435594500,2020,1001075,"SC",29487,
"","3750 Dorchester Road","Charleston County School District","Edmund A. Burns Elementary","http://burns.ccsdschools.com/ ","North Charleston","Charleston                                        ",1001,"Charleston 01                                     ","4-5 SPED      ","marvin_taylor@charleston.k12.sc.us","Marvin","field no longer used","Taylor","843-745-1951","Mr.","Trident",038,"",8435293906,"Edmund A Burns Elem                               ",8437457113,2020,1001038,"SC",29405,
"","200 McRae Street","Richland County School District One","Edward E. Taylor Elementary","https://www.richlandone.org/Domain/32","Columbia","Richland                                          ",4001,"Richland 01                                       ","PK-5 SPED      ","debbie.hunter@richlandone.org","Debbie","field no longer used","Hunter","803-343-2924","Ms.","Midlands",053,"",8039293903,"E.E Taylor Elem                                       ",8033432924,2020,4001053,"SC",29203,
"","2411 West Boulevard","Chesterfield County School District","Edwards Elementary","http://ees.chesterfieldschools.org/","Chesterfield","Chesterfield                                      ",1301,"Chesterfield 01                                   ","PK-5 SPED      ","bsuggs@chesterfieldschools.org","Beth","field no longer used","Suggs","843-623-2351","Mrs.","Pee Dee",014,"",8436239412,"Edwards Elem                                      ",8436232351,2020,1301014,"SC",29709,
"","1802 East Durst Avenue","Greenwood School District 50","Eleanor S. Rice Elementary","https://www.gwd50.org/Domain/1207","Greenwood","Greenwood                                         ",2450,"Greenwood 50                                      ","PK-5 SPED       ","littlejohnc@gwd50.org","Carlos","field no longer used","Littlejohn","864-941-5660","Mr.","Upper Savannah",008,"",8643882401,"Eleanor S. Rice Elem.                             ",8649415660,2020,2450008,"SC",29649,
"","9122 Augusta Road","The School District of Greenville County","Ellen Woodside Elementary","https://sites.google.com/a/greenvilleschools.us/ellenw/","Pelzer","Greenville                                        ",2301,"Greenville 01                                     ","PK-5 SPED      ","smccain@greenville.k12.sc.us","Shawn","field no longer used","McCain","864-355-4900","Mr.","Greenville",100,"",8643554965,"Ellen Woodside Elem                               ",8643554900,2020,2301100,"SC",29669,
"","200 Warrior Drive","Orangeburg County School District","Elloree Elementary","http://ees.obg3.k12.sc.us","Elloree","Orangeburg                                        ",3809,"Orangeburg County School District","PK-8 SPED      ","jamesd@obg3.k12.sc.us","Derrick","","James","803-897-2233","Mr.","",047,"","803-897-2233","Elloree Elementary","803-897-2233",2020,3809047,"SC",29047,
"","150 Bypass 225","Greenwood School District 50","Emerald High School","https://www.gwd50.org/Domain/83","Greenwood","Greenwood                                         ",2450,"Greenwood 50                                      ","9-12 SPED      ","colemand@gwd50.org","Damian","field no longer used","Colman","864-941-5730","Mr.","Upper Savannah",001,"",8649413487,"Emerald High                                      ",8649415730,2020,2450001,"SC",29646,
"","108 Scalybark Road","The School District of Greenville County","Enoree Career Center","http://www.greenville.k12.sc.us/enoree/","Greenville","Greenville                                        ",2301,"Greenville 01                                     ","9-12 SPED          ","bmyers@greenville.k12.sc.us","Brana","field no longer used","Myers","864-355-7400","Ms.","Greenville",997,"",8643557407,"Enoree Career Center                                 ",8643557400,2020,2301997,"SC",29617,
"","1477 Locustwood Avenue","Lancaster County School District","Erwin Elementary","http://ees.lancastercsd.com","Lancaster","Lancaster                                         ",2901,"Lancaster 01                                      ","PK-5 SPED          ","Jane.Gaston@lcsdmail.net","Jane","field no longer used","Gaston","803-285-8484","Ms.","Catawba",017,"",8032896332,"Erwin Elem                                        ",8032858484,2020,2901017,"SC",29720,
"","636 Fourth Street","Hampton County School District 2 ","Estill Elementary","http://hampton2es.ss3.sharpschool.com/","Estill","Hampton                                           ",2502,"Hampton 02                                        ","PK-5 SPED      ","LeeJul@hampton2.k12.sc.us","Julia ","field no longer used","Lee","803-625-5030","Ms.","Lowcountry",017,"",8036252373,"Estill Elem                                       ",8036255030,2020,2502017,"SC",29918,
"","1450 Columbia Highway","Hampton County School District 2 ","Estill High School","http://hampton2hs.ss3.sharpschool.com/","Estill","Hampton                                           ",2502,"Hampton 02                                        ","9-12 SPED      ","hawksyn@hampton2.k12.sc.us","Synetria","field no longer used","Hawkins","803-625-5100","Ms.","Lowcountry",011,"",8036254695,"Estill High                                       ",8036255100,2020,2502011,"SC",29918,
"","1450 Columbia Highway, Suite B","Hampton County School District 2 ","Estill Middle","http://hampton2ms.ss3.sharpschool.com/","Estill","Hampton                                           ",2502,"Hampton 02                                        ","6-8 SPED       ","TaylShr@hampton2.k12.sc.us","Shronda","field no longer used","Taylor","803-625-5200","Mrs.","Lowcountry",014,"",8036253588,"Estill Middle                                     ",8036255200,2020,2502014,"SC",29918,
"","1731 Shivers Road","Juvenile Justice Schools","Evaluation and Detention Center","http://www.state.sc.us/djj/education.php","Columbia","Dept Of Juvenile",5208,"Dept Of Juvenile Justice","5-12 SPED           ","asthoma@scdjj.net","Aldonza","field no longer used","Thomas","803-896-9037","Mrs.","Special REC",003,"",8038965953,"Evaluation & Detention Ctr                        ",8038969037,2020,5208003,"SC",29210,
"","3351 Sumter Highway","F E Dubose Vocational Center","F E Dubose Career Ctr","http://www.cctech.edu/","Manning","Clarendon                                         ",1480,"Clarendon 80                                      ","9-12 SPED","justicelh@cctech.edu","Lisa H.","field no longer used","Justice","803-473-2531","Mrs.","",995,"",8034734320,"F E Dubose Career Ctr                             ",8034732531,2020,1480995,"SC",29102,
"","1964 Oakway Road","School District of Oconee County","Fair-Oak Elementary","https://sites.google.com/a/g.oconee.k12.sc.us/fair-oak/","Westminster","Oconee                                            ",3701,"Oconee 01                                         ","PK-5 SPED          ","dthompson@g.oconee.k12.sc.us","David","field no longer used","Thompson","864-886-4505","Mr.","Pendleton",027,"",8648864506,"Fair-Oak Elem                                     ",8648864505,2020,3701027,"SC",29693,
"","734 14th Street East","Allendale County Schools ","Fairfax Elementary","http://ffes.acs.k12.sc.us","Fairfax","Allendale                                         ",0301,"Allendale 01                                      ","PK-2 SPED      ","mcculloughb@acs.k12.sc.us","Beverly","field no longer used","McCullough","803-632-2536","Dr.","Lower Savannah",006,"",8036322822,"Fairfax Elem                                      ",8036322536,2020,0301006,"SC",29827,
"","790 US Highway 321 North","The School District Of Fairfield County","Fairfield Career and Technology Center","http://fctc.fairfield1.org/","Winnsboro","Fairfield                                         ",2001,"Fairfield 01                                      ","9-12 SPED           ","gpilot@fairfield1.org","G. Cleve","field no longer used","Pilot","803-635-5506","Dr.","Midlands",995,"",8036359958,"Fairfield Career & Tech Ctr                       ",8036355506,2020,2001995,"SC",29180,
"","836 US Highway 321 Bypass South","The School District Of Fairfield County","Fairfield Central High School","http://fmsms.fairfield1.org/","Winnsboro","Fairfield                                         ",2001,"Fairfield 01                                      ","9-12 SPED      ","tswilley@fairfield1.org","Tracie","field no longer used","Swilley","803-635-1441","Mrs.","Midlands",013,"",8036353997,"Fairfield Central High                            ",8036351441,2020,2001013,"SC",29180,
"","175 Medley Road","The School District Of Fairfield County","Fairfield Elementary","http://fes.fairfield1.org/","Winnsboro","Fairfield                                         ",2001,"Fairfield 01                                      ","PK-6 SPED      ","tmartin@fairfield1.org","Tammy","field no longer used","Martin","803-635-5594","Dr.","Midlands",014,"",8036351721,"Fairfield Elementary                              ",8036355594,2020,2001014,"SC",29180,
"","1647 US Highway 321 Bypass North","The School District Of Fairfield County","Fairfield Magnet for Math and Science","http://fmsms.fairfield1.org/","Winnsboro","Fairfield                                         ",2001,"Fairfield 01                                      ","PK-6 SPED      ","gwhitfield@fairfield1.org","Gale","field no longer used","Whitfield","803-635-4810","Mrs.","Midlands",015,"",8036351803,"Fairfield Magnet For Math/Scie                    ",8036354810,2020,2001015,"SC",29180,
"","728 US Highway 321 Bypass South","The School District Of Fairfield County","Fairfield Middle","http://fms.fairfield1.org/","Winnsboro","Fairfield                                         ",2001,"Fairfield 01                                      ","7-8 SPED       ","Jbrunson@fairfield1.org","Jamie","field no longer used","Brunson","803-635-4270","Mr.","Midlands",001,"",8036359108,"Fairfield Middle                                  ",8036354270,2020,2001001,"SC",29180,
"","1005 Mount Zion Road","Spartanburg County School District Six","Fairforest Elementary","https://fes.spart6.org/","Spartanburg","Spartanburg                                       ",4206,"Spartanburg 06                                    ","PK-5 SPED       ","KrawczSA@spart6.org","Stephen","field no longer used","Krawczyk","864-439-5000","Dr.","Upstate",058,"",8646611476,"Fairforest Elem                                   ",8644395000,2020,4206058,"SC",29303,
"","150 Lincoln School Road","Spartanburg County School District Six","Fairforest Middle","https://fms.spart6.org/","Spartanburg","Spartanburg                                       ",4206,"Spartanburg 06                                    ","6-8 SPED       ","belgrada@spart6.org","Darrell","field no longer used","Belgraves","864-576-1270","Mr.","Upstate",054,"",8645762600,"Fairforest Middle                                 ",8645761270,2020,4206054,"SC",29301,
"P.O. Box 2349","115 Lance Street","SC Public School Charter District","Felton Laboratory Charter School","https://myflcs.org/","Orangeburg","SC Public Chart                                   ",4701,"SC Public Charter School District                 ","K-8 SPED","bcharley@myflcs.org ","Barry","","Charley","803-536-7034","Mr.","",042,"",8035333635,"Felton Laboratory Charter ",8035367034,2020,4701042,"SC",29117,
"P.O. Box 427","131 Yemassee Highway","Hampton County School District 1","Fennell Elementary","http://fes.hampton1.org","Yemassee","Hampton                                           ",2501,"Hampton 01                                        ","PK-6 SPED          ","wcoker@hampton1.k12.sc.us","Willie F.","field no longer used","Coker","843-398-5591","Mr.","Lowcountry",010,"",8435895043,"Fennell Elem                                      ",8033985591,2020,2501010,"SC",29945,
"","1089 Finley Road","Rock Hill School District Three of York County","Finley Road Elementary","https://www.rock-hill.k12.sc.us/Domain/12","Rock Hill","York                                              ",4603,"York 03                                           ","PK-5 SPED       ","jprobins@rhmail.org","Patrick","field no longer used","Robinson","803-981-1280","Mr.","Catawba",026,"",8039811294,"Finley Road Elem                                  ",8039811280,2020,4603026,"SC",29730,
"","115 Thompson Road","Anderson School District Three","Flat Rock Elementary","http://www.acsd3.org/o/flat-rock-elementary-school","Anderson","Anderson                                          ",0403,"Anderson 03                                       ","PK-5 SPED          ","doddc@anderson3.k12.sc.us","Christy","field no longer used","Dodd","864-296-9191","Mrs.","Pendleton",027,"",8642965812,"Flat Rock Elem.                                   ",8642969191,2020,0403027,"SC",29624,
"","126 East Howe Springs Road","Florence School District One","Florence Career Center","https://www.f1s.org/FlorenceCareerCenter","Florence","Florence                                          ",2101,"Florence 01                                       ","9-12 SPED  ","kcarpenter@fsd1.org","Sarah","field no longer used","Carpenter","843-664-8465","Ms.","Pee Dee",995,"",8434134488,"Florence Career Ctr                               ",8436648465,2020,2101995,"SC",29505,
"","290 Shoals Road","Spartanburg Five","Florence Chapel Middle","http://www.spart5.net/fcms/site/default.asp","Duncan","Spartanburg                                       ",4205,"Spartanburg 05                                    ","7-8 SPED       ","christopher.mccants@spart5.net","Chris","field no longer used","McCants","864-949-2310","Ms.","Upstate",092,"",8649492315,"Florence Chapel Middle                            ",8649492310,2020,4205092,"SC",29334,
"","20 King Charles Circle","Dorchester 2","Flowertown Elementary","http://fes.ddtwo.org","Summerville","Dorchester                                        ",1802,"Dorchester 02                                     ","PK-5 SPED      ","cball@dorchester2.k12.sc.us","Carey","field no longer used","Ball","843-871-7400","Ms.","Trident",014,"",8438213980,"Flowertown Elem                                   ",8438717400,2020,1802014,"SC",29485,
"","275 Alexander Love Highway","York School District One","Floyd D. Johnson Technology Ctr","http://www.york.k12.sc.us/fdj/","York","York                                              ",4601,"York 01                                           ","9-12 SPED           ","lgreen@york.k12.sc.us","Lee","field no longer used","Green","803-684-1910","Dr.","Catawba",996,"",8036841913,"Floyd D Johnson Technology Ctr                    ",8036841910,2020,4601996,"SC",29745,
"","601 Lucas Avenue","Laurens County School District No. 55","Ford Elementary","http://www.fordschool.org/","Laurens","Laurens                                           ",3055,"Laurens 55                                        ","PK-5 SPED      ","zawatson@laurens55.org","Zakaria","field no longer used","Watson","864-984-3986","Mr.","Upper Savannah",006,"",8649844724,"Ford Elem                                         ",8649843986,2020,3055006,"SC",29360,
"","401 McAlister Road","School District of Pickens County","Forest Acres Elementary","http://fae.pickens.k12.sc.us/","Easley","Pickens                                           ",3901,"Pickens 01                                        ","PK-5 SPED      ","darianbyrd@pickens.k12.sc.us","Darian","field no longer used","Byrd","864-397-1800","Mr.","Pendleton",018,"",8648557867,"Forest Acres Elem                                 ",8643971800,2020,3901018,"SC",29642,
"","2500 Blue Ridge Terrace","Richland County School District One","Forest Heights Elementary","https://www.richlandone.org/Domain/17","Columbia","Richland                                          ",4001,"Richland 01                                       ","PK-5 SPED      ","winifred.johnson@richlandone.org","Winifred","field no longer used","Johnson","803-691-3780","Dr.","Midlands",093,"",8036913782,"Forest Heights Elem                               ",8036913780,2020,4001093,"SC",29203,
"","633 Hiers Corner Road","Colleton School District","Forest Hills Elementary","http://fhe.colletonsd.org/","Walterboro","Colleton                                          ",1501,"Colleton 01                                       ","1-5 SPED       ","whamilton@colleton.k12.sc.us","Wilsey","field no longer used","Hamilton","843-782-4512","Mr.","Lowcountry",012,"","843782-3853","Forest Hills Elem                                 ",8437824512,2020,1501012,"SC",29488,
"","6801 Brookfield Road","Richland School District Two","Forest Lake Elementary","https://www.richland2.org/fle/","Columbia","Richland                                          ",4002,"Richland 02                                       ","PK-5 SPED      ","ksteck@richland2.org","Kappy","field no longer used","Steck","803-782-0470","Dr.","Midlands",074,"",8037387365,"Forest Lake Elem                                  ",8037820470,2020,4002074,"SC",29206,
"","4000 Panthers Parkway","Horry County Schools","Forestbrook Elementary","http://fe.horrycountyschools.net/","Myrtle Beach","Horry                                             ",2601,"Horry 01                                          ","PK-5 SPED      ","mhursey@horrycountyschools.net","Marshall","field no longer used","Hursey","843-236-8100","Mr.","Waccamaw",046,"",8432368103,"Forestbrook Elem                                  ",8432368100,2020,2601046,"SC",29579,
"","4430 Gator Lane","Horry County Schools","Forestbrook Middle","http://fm.horrycountyschools.net/","Myrtle Beach","Horry                                             ",2601,"Horry 01                                          ","6-8 SPED       ","mrutenberg001@horrycountyschools.net","Melissa","field no longer used","Rutenberg","843-236-7300","Mrs.","Waccamaw",051,"",8432368065,"Forestbrook Middle                                ",8432367300,2020,2601051,"SC",29588,
"","916 McKelvey Road","The School District of Greenville County","Fork Shoals Elementary School","http://www.greenville.k12.sc.us/forksh/","Pelzer","Greenville                                        ",2301,"Greenville 01                                     ","K-5 SPED       ","kreid@greenville.k12.sc.us","Kim","field no longer used","Reid","864-355-5000","Mr.","Greenville",057,"",8643555012,"Fork Shoals Elementary School                                 ",8643555000,2020,2301057,"SC",29669,
"","5201 Old Glory Lane","Dorchester 2","Fort Dorchester Elementary","http://fdes.ddtwo.org","Summerville","Dorchester                                        ",1802,"Dorchester 02                                     ","PK-5 SPED      ","aroper@dorchester2.k12.sc.us","Annette","field no longer used","Roper","843-832-5550","Mrs.","Trident",023,"",8438325553,"Fort Dorchester Elem                              ",8438325550,2020,1802023,"SC",29485,
"","8500 Patriot Boulevard","Dorchester 2","Fort Dorchester High School","http://fdhs.ddtwo.org","North Charleston","Dorchester                                        ",1802,"Dorchester 02                                     ","9-12 SPED      ","raldredge@dorchester2.k12.sc.us","Raymond J.","field no longer used","Aldredge","843-760-4450","Mr.","Trident",020,"",8437604852,"Fort Dorchester High                              ",8437604450,2020,1802020,"SC",29420,
"","192 Springfield Parkway","Fort Mill School District","Fort Mill Elementary","http://fortmillfmes.ss11.sharpschool.com/","Fort Mill","York                                              ",4604,"York 04                                           ","PK-5 SPED            ","youngj@fortmillschools.org","Jocelyn","field no longer used","Young","803-547-7546","Mrs.","Catawba",043,"",8035477559,"Ft Mill Elem                                      ",8035477546,2020,4604043,"SC",29715,
"","215 North Highway 21 By-pass","Fort Mill School District","Fort Mill High School","http://fortmillfmhs.ss11.sharpschool.com/","Fort Mill","York                                              ",4604,"York 04                                           ","9-12 SPED          ","scroggsg@fortmillschools.org ","Gales","field no longer used","Scroggs","803-548-1900","Mr.","Catawba",036,"",8035481911,"Ft Mill High                                      ",8035481900,2020,4604036,"SC",29715,
"","200 Springfield Parkway","Fort Mill School District","Fort Mill Middle","http://fortmillfmms.ss11.sharpschool.com/","Fort Mill","York                                              ",4604,"York 04                                           ","6-8 SPED            ","murphym@fortmillschools.org","Maurice","field no longer used","Murphy","803-547-5553","Mr.","Catawba",037,"",8035482911,"Ft Mill Middle                                    ",8035475553,2020,4604037,"SC",29715,
"","7350 Fish Hatchery Road","Lexington County School District One","Forts Pond Elementary","http://www.lexington1.net/schools/forts-pond-elementary-school","Pelion","Lexington                                         ",3201,"Lexington 01                                      ","K-5 SPED           ","mlsmith@lexington1.net","Michelle L.","field no longer used","Smith","803-821-2500","Mrs.","Midlands",064,"",8038212503,"Forts Pond Elem                                   ",8038212500,2020,3201064,"SC",29123,
"","901 Arthur Boulevard","Union County School District","Foster Park Elementary","http://unionfes.ss8.sharpschool.com/","Union","Union                                             ",4401,"Union 01                                          ","PK-5 SPED      ","jkoepke@union.k12.sc.us","Jason","field no longer used","Koepke","864-429-1737","Mr.","Upstate",012,"",8644291799,"Foster Park Elem                                  ",8644291737,2020,4401012,"SC",29379,
"","608 Fairview Street","The School District of Greenville County","Fountain Inn Elementary","https://www.greenville.k12.sc.us/ftinn/","Fountain Inn","Greenville                                        ",2301,"Greenville 01                                     ","PK-5 SPED      ","sbreese@greenville.k12.sc.us","Stephanie","field no longer used","Reese","864-355-5100","Ms.","Greenville",058,"",8643555164,"Fountain Inn Elem                                 ",8643555100,2020,2301058,"SC",29644,
"","165 Shortcut Road","SC Public School Charter District","Fox Creek High School","http://www.foxcreekhighschool.org","North Augusta","SC Public Chart                                   ",4701,"SC Public Charter School District                 ","9-12 SPED","jtrahan@foxcreekhighschool.org","Josh","field no longer used","Trahan","803-613-9435","Mr.","Special REC",020,"",8036131533,"Fox Creek High",8036139435,2020,4701020,"SC",29860,
"","Foxbank Elementary","Berkeley County School District","Foxbank Elementary","http://www.bcsdschools.net/fbe","Moncks Corner","Berkeley                                          ",0801,"Berkeley                              ","PK-5 SPED","lockliea@bcsdschools.net","Natalie","","Lockliear","843-761-1120","Ms.","",058,"",8437611124,"Foxbank Elementary",8437611120,2020,0801058,"SC",29461,
"","161 Gaston Street","Lexington School District Four","Frances F. Mack Intermediate","http://fmis.lexington4.net/","Gaston","Lexington                                         ",3204,"Lexington 04                                      ","5-6 SPED           ","bevans@lexington4.net","Bryan","field no longer used","Evans","803-490-7004","Mr.","Midlands",035,"",8033997964,"Frances F Mack Intermediate                       ",8034907004,2020,3204035,"SC",29053,
"","100 Vocational Drive","School District of Oconee County","Fred P. Hamilton Career Center","https://sites.google.com/a/g.oconee.k12.sc.us/hamilton-career-center/","Seneca","Oconee                                            ",3701,"Oconee 01                                         ","9-12 SPED          ","clusk@g.oconee.k12.sc.us","Chad","field no longer used","Lusk","864-886-4425","Mr.","Pendleton",995,"",8648864426,"Fred P Hamilton Career Ctr                        ",8648864425,2020,3701995,"SC",29672,
"","3400 Bethel Church Road","Sumter","Furman Middle","http://fms.sumterschools.net/","Sumter","Sumter                                            ",4301,"Sumter 01                                         ","6-8 SPED       ","michael.riggins@sumterschools.net","Michael","field no longer used","Riggins","803-481-8519","Mr.","Santee Lynches",003,"",8034818923,"Furman Middle                                     ",8034818519,2020,4301003,"SC",29154,
"","601 East Northside Drive","Greenwood County Career Center","G Frank Russell Technology Center","http://www.gwd50.org/rtc","Greenwood","Greenwood                                         ",2480,"Greenwood 80                                      ","9-12 SPED","corbittb@gwd50.org","Bonnie R.","field no longer used","Corbitt","864-941-5750","Ms.","",995,"",8649415375,"G Frank Russell Technology Ctr                        ",8649415750,2020,2480995,"SC",29649,
"","1660 South Goodwin Circle","Richland County School District One","Gadsden Elementary","http://gadsden.richlandone.org/","Gadsden","Richland                                          ",4001,"Richland 01                                       ","PK-5 SPED      ","david.thorpe@richlandone.org","David","field no longer used","Thorpe","803-353-2231","Mr.","Midlands",036,"",8033534035,"Gadsden Elem                                      ",8033532231,2020,4001036,"SC",29052,
"","149 Twin Lake Road","Cherokee County School District","Gaffney High School","https://ghs.cherokee1.org/","Gaffney","Cherokee                                          ",1101,"Cherokee 01                                       ","9-12 SPED          ","Erik.Gerstenacker@cherokee1.org","Erik","field no longer used","Gerstenacker","864-206-2000","Mr.","Upstate",003,"",8649023628,"Gaffney High                                      ",8642062000,2020,1101003,"SC",29341,
"","805 East Frederick Street","Cherokee County School District","Gaffney Middle","https://gms.cherokee1.org/","Gaffney","Cherokee                                          ",1101,"Cherokee 01                                       ","6-8 SPED           ","Eric.Blanton@cherokee1.org","Eric ","field no longer used","Blanton","864-206-6129","Dr.","Upstate",024,"",8649023637,"Gaffney Middle                                    ",8642066129,2020,1101024,"SC",29340,
"","255 Hawkins Road","School District of Newberry County","Gallman Elementary","https://www.newberry.k12.sc.us/o/gallman","Newberry","Newberry                                          ",3601,"Newberry 01                                       ","PK-5 SPED      ","nhunter@newberry.k12.sc.us","Nikki","field no longer used","Hunter","803-321-2655","Ms.","Upper Savannah",008,"",8033212657,"Gallman Elem                                      ",8033212655,2020,3601008,"SC",29108,
"","2731 Gordon Street","Charleston County School District","Garrett Academy of Technology","http://garrett.ccsdschools.com/","North Charleston","Charleston                                        ",1001,"Charleston 01                                     ","PK, 9-12 SPED      ","dale_metzger@charleston.k12.sc.us","Dale","field no longer used","Metzger","843-745-7126","Mr.","Trident",008,"",8435293914,"Garrett Academy of Tech                           ",8437457126,2020,1001008,"SC",29405,
"","200 Hawkins Road","The School District of Greenville County","Gateway Elementary","https://www.greenville.k12.sc.us/gateway/","Travelers Rest","Greenville                                        ",2301,"Greenville 01                                     ","PK-5 SPED      ","sstubley@greenville.k12.sc.us","Susan","field no longer used","Stubley","864-355-5200","Ms.","Greenville",027,"",8643555259,"Gateway Elem                                      ",8643555200,2020,2301027,"SC",29690,
"","150 T.M. Cook Road","The School District Of Fairfield County","Geiger Elementary","http://ges.fairfield1.org/","Ridgeway","Fairfield                                         ",2001,"Fairfield 01                                      ","PK-6 SPED      ","mbramlett@fairfield1.org","Myra","field no longer used","Bramlett","803-337-8288","Mrs.","Midlands",012,"",8033378185,"Geiger Elem                                       ",8033378288,2020,2001012,"SC",29130,
"","2500 Maybank Drive","Georgetown County School District","Georgetown High School","https://ghs.gcsd.k12.sc.us/","Georgetown","Georgetown                                        ",2201,"Georgetown 01                                     ","9-12 SPED      ","cstone@gcsd.k12.sc.us","Craig","field no longer used","Stone","843-546-8516","Mr.","Waccamaw",004,"",8435468521,"Georgetown High                                   ",8435468516,2020,2201004,"SC",29440,
"","2400 Maybank Drive","Georgetown County School District","Georgetown Middle","https://gms.gcsd.k12.sc.us/","Georgetown","Georgetown                                        ",2201,"Georgetown 01                                     ","6-8 SPED       ","shillman@gcsd.k12.sc.us","Seth","field no longer used","Hillman","843-527-4495","Ms.","Waccamaw",013,"",8435272290,"Georgetown Middle                                 ",8435274495,2020,2201013,"SC",29440,
"","314 Main Street","Lexington County School District One","Gilbert Elementary","http://www.lexington1.net/schools/gilbert-elementary-school","Gilbert","Lexington                                         ",3201,"Lexington 01                                      ","3-5 SPED            ","hbranham@lexington1.net","P. Heath","field no longer used","Branham","803-821-1600","Mr.","Midlands",005,"",8038211603,"Gilbert Elem                                      ",8038211600,2020,3201005,"SC",29054,
"","840 Main Street","Lexington County School District One","Gilbert High School","http://www.lexington1.net/schools/gilbert-high-school","Gilbert","Lexington                                         ",3201,"Lexington 01                                      ","9-12 SPED           ","jnelson@lexington1.net","Jacob W. ","field no longer used","Nelson","803-821-1901","Mr.","Midlands",001,"",8038211903,"Gilbert High                                      ",8038211900,2020,3201001,"SC",29054,
"","120 Rikard Circle","Lexington County School District One","Gilbert Middle","http://www.lexington1.net/schools/gilbert-middle-school","Gilbert","Lexington                                         ",3201,"Lexington 01                                      ","6-8 SPED           ","bricard@lexington1.net","Benjamin D.","field no longer used","Ricard","803-821-1700","Dr.","Midlands",054,"",8038211703,"Gilbert Middle                                    ",8038211700,2020,3201054,"SC",29054,
"","520 Main Street","Lexington County School District One","Gilbert Primary","http://www.lexington1.net/schools/gilbert-primary-school","Gilbert","Lexington                                         ",3201,"Lexington 01                                      ","PK-2 SPED           ","wmoody@lexington1.net","William H.","field no longer used","Moody, Jr.","803-821-1400","Mr.","Midlands",059,"",8038211403,"Gilbert Primary                                   ",8038211400,2020,3201059,"SC",29054,
"","2575 Old Williamston Road","Anderson School District Five","Glenview Middle","http://www.anderson5.net/Domain/19","Anderson","Anderson                                          ",0405,"Anderson 05                                       ","6-8 SPED           ","leonardgalloway@anderson5.net","Leonard","field no longer used","Galloway","864-716-4060","Mr.","Pendleton",064,"",8647163883,"Glenview Middle                                   ",8647164060,2020,0405064,"SC",29621,
